                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 0.9401,                0.45604,                0.85527,                0.97251,                0.94444,                0.95831,                0.60369,                 1.3873,                0.63149,                0.98916,               0.000812,               0.000812,               0.000812
                     63,                0.95393,                 0.4847,                0.86612,                0.96988,                0.95556,                 0.9694,                0.59989,                 1.4024,                0.58191,                0.99857,              0.0007922,              0.0007922,              0.0007922
                     64,                0.94524,                0.45139,                 0.8743,                0.96701,                0.97701,                 0.9738,                0.60636,                 1.3762,                0.55364,                0.99715,              0.0007724,              0.0007724,              0.0007724
                     65,                0.93717,                0.46582,                0.85643,                0.98863,                0.96572,                0.97816,                0.61858,                 1.3468,                0.56295,                0.99305,              0.0007526,              0.0007526,              0.0007526
                     66,                0.91763,                 0.4447,                0.86726,                 0.9756,                0.96667,                0.97941,                0.61832,                 1.3697,                0.58577,                 0.9845,              0.0007328,              0.0007328,              0.0007328
                     67,                0.90863,                0.44919,                0.85766,                0.98656,                0.94444,                0.98037,                0.63058,                 1.3529,                0.56216,                0.99327,               0.000713,               0.000713,               0.000713
                     68,                0.89326,                0.45169,                0.87637,                0.97724,                0.95436,                0.98062,                0.62266,                 1.3879,                0.57524,                0.99735,              0.0006932,              0.0006932,              0.0006932
                     69,                0.90258,                0.44394,                0.85694,                0.98742,                0.94444,                 0.9722,                0.62928,                 1.3458,                0.58159,                0.98985,              0.0006734,              0.0006734,              0.0006734
                     70,                0.86332,                0.42947,                0.84669,                0.98795,                0.95556,                 0.9663,                0.64242,                 1.3396,                0.60858,                0.98356,              0.0006536,              0.0006536,              0.0006536
                     71,                0.88468,                0.43439,                0.86209,                0.98725,                0.95556,                0.97462,                0.64428,                 1.3491,                0.57408,                0.98614,              0.0006338,              0.0006338,              0.0006338
                     72,                0.86829,                0.42529,                0.86662,                0.98712,                0.96667,                0.97644,                0.62754,                 1.3421,                0.55333,                0.97944,               0.000614,               0.000614,               0.000614
                     73,                0.85554,                0.42612,                0.85372,                0.98792,                0.96667,                0.97823,                0.63693,                 1.3396,                0.55056,                 0.9839,              0.0005942,              0.0005942,              0.0005942
                     74,                 0.8581,                0.42709,                0.84215,                0.98855,                0.96667,                0.98064,                0.65429,                  1.331,                0.56067,                0.97758,              0.0005744,              0.0005744,              0.0005744
                     75,                0.86302,                0.43064,                 0.8396,                0.98622,                0.97778,                0.98117,                 0.6444,                 1.3095,                0.54319,                0.98106,              0.0005546,              0.0005546,              0.0005546
                     76,                0.86415,                0.42527,                0.84611,                0.98658,                0.97778,                 0.9789,                0.63229,                 1.3501,                0.55191,                0.98549,              0.0005348,              0.0005348,              0.0005348
                     77,                   0.83,                0.42505,                0.82985,                0.98549,                0.97778,                0.97763,                0.63763,                 1.3287,                 0.5464,                 0.9842,               0.000515,               0.000515,               0.000515
                     78,                0.87347,                0.41734,                0.85956,                0.98862,                0.96543,                0.97678,                0.63872,                 1.3204,                0.55324,                0.97542,              0.0004952,              0.0004952,              0.0004952
                     79,                0.84385,                0.42178,                0.84129,                0.98625,                0.96667,                0.97678,                0.64166,                 1.3143,                0.55377,                  0.972,              0.0004754,              0.0004754,              0.0004754
                     80,                0.83907,                0.41656,                0.83675,                0.97687,                0.97778,                0.97788,                0.64954,                 1.3126,                0.54739,                0.96967,              0.0004556,              0.0004556,              0.0004556
                     81,                0.82808,                0.39636,                0.84823,                0.98875,                0.97685,                0.98326,                0.65074,                 1.3096,                0.53152,                0.97303,              0.0004358,              0.0004358,              0.0004358
                     82,                0.87085,                0.42121,                0.84199,                0.97543,                0.97778,                 0.9849,                0.64874,                 1.3134,                0.53044,                0.97301,               0.000416,               0.000416,               0.000416
